datetime,pps,cum_pnl,daily_pnl
1451606400,1.0,0.0,0.0
1451692800,1.0,0.0,0.0
1451779200,1.0,0.0,0.0
1451865600,1.0,0.0,0.0
1451952000,1.0,0.0,0.0
1452038400,1.0,0.0,0.0
1452124800,1.0,0.0,0.0
1452211200,1.0,0.0,0.0
1452297600,1.0,0.0,0.0
1452384000,1.0,0.0,0.0
1452470400,1.0,0.0,0.0
1452556800,1.0,0.0,0.0
1452643200,1.0,0.0,0.0
1452729600,1.0,0.0,0.0
1452816000,1.0302,0.0302,0.0302
1452902400,1.0297,0.0297,-0.0005
1452988800,1.0333,0.0333,0.0035
1453075200,1.0862,0.0862,0.0512
1453161600,1.1123,0.1123,0.0241
1453248000,1.076,0.076,-0.0326
1453334400,1.1662,0.1662,0.0838
1453420800,1.2034,0.2034,0.0319
1453507200,1.1934,0.1934,-0.0084
1453593600,1.3954,0.3954,0.1693
1453680000,1.4948,0.4948,0.0712
1453766400,1.6425,0.6425,0.0988
1453852800,1.6347,0.6347,-0.0047
1453939200,1.5877,0.5877,-0.0288
1454025600,1.6168,0.6168,0.0183
1454112000,1.6169,0.6169,0.0001
1454198400,1.6091,0.6091,-0.0048
1454284800,1.5394,0.5394,-0.0433
1454371200,1.5297,0.5297,-0.0063
1454457600,1.5775,0.5775,0.0312
1454544000,1.6263,0.6263,0.031
1454630400,1.6354,0.6354,0.0056
1454716800,1.6242,0.6242,-0.0068
1454803200,1.63,0.63,0.0036
1454889600,1.6596,0.6596,0.0181
1454976000,1.7131,0.7131,0.0322
1455062400,1.7842,0.7842,0.0415
1455148800,1.8232,0.8232,0.0218
1455235200,1.9793,0.9793,0.0856
1455321600,1.929,0.929,-0.0254
1455408000,1.916,0.916,-0.0068
1455494400,1.8997,0.8997,-0.0085
1455580800,1.8986,0.8986,-0.0006
1455667200,1.8042,0.8042,-0.0497
1455753600,1.7978,0.7978,-0.0035
1455840000,1.8182,0.8182,0.0114
1455926400,1.8346,0.8346,0.009
1456012800,1.8213,0.8213,-0.0072
1456099200,1.842,0.842,0.0114
1456185600,1.9177,0.9177,0.0411
1456272000,1.9021,0.9021,-0.0081
1456358400,1.9736,0.9736,0.0376
1456444800,1.9612,0.9612,-0.0063
1456531200,1.9664,0.9664,0.0027
1456617600,1.9987,0.9987,0.0164
1456704000,2.0011,1.0011,0.0012
1456790400,2.0049,1.0049,0.0019
1456876800,2.1876,1.1876,0.0911
1456963200,2.3148,1.3148,0.0581
1457049600,2.4673,1.4673,0.0659
1457136000,2.5811,1.5811,0.0461
1457222400,2.7387,1.7387,0.061
1457308800,2.7567,1.7567,0.0066
1457395200,2.6101,1.6101,-0.0532
1457481600,2.6348,1.6348,0.0094
1457568000,2.7952,1.7952,0.0609
1457654400,2.7613,1.7613,-0.0121
1457740800,2.7472,1.7472,-0.0051
1457827200,2.9677,1.9677,0.0803
1457913600,3.0522,2.0522,0.0285
1458000000,2.8888,1.8888,-0.0535
1458086400,2.9335,1.9335,0.0155
1458172800,2.8831,1.8831,-0.0172
1458259200,2.7562,1.7562,-0.044
1458345600,2.7544,1.7544,-0.0006
1458432000,2.7447,1.7447,-0.0035
1458518400,2.7357,1.7357,-0.0033
1458604800,2.9574,1.9574,0.081
1458691200,2.8859,1.8859,-0.0242
1458777600,3.0558,2.0558,0.0589
1458864000,3.0457,2.0457,-0.0033
1458950400,3.0449,2.0449,-0.0002
1459036800,3.0438,2.0438,-0.0004
1459123200,3.0532,2.0532,0.0031
1459209600,3.0124,2.0124,-0.0134
1459296000,3.0114,2.0114,-0.0003
1459382400,3.0079,2.0079,-0.0012
1459468800,3.0144,2.0144,0.0022
1459555200,3.0192,2.0192,0.0016
1459641600,3.0231,2.0231,0.0013
1459728000,3.0217,2.0217,-0.0005
1459814400,3.0217,2.0217,-0.0
1459900800,3.0491,2.0491,0.0091
1459987200,3.0412,2.0412,-0.0026
1460073600,3.038,2.038,-0.0011
1460160000,3.0421,2.0421,0.0014
1460246400,3.0537,2.0537,0.0038
1460332800,3.0643,2.0643,0.0035
1460419200,3.0711,2.0711,0.0022
1460505600,3.1327,2.1327,0.02
1460592000,3.1311,2.1311,-0.0005
1460678400,3.1323,2.1323,0.0004
1460764800,3.1393,2.1393,0.0022
1460851200,3.1407,2.1407,0.0005
1460937600,3.135,2.135,-0.0018
1461024000,3.1396,2.1396,0.0015
1461110400,3.1535,2.1535,0.0044
1461196800,3.1686,2.1686,0.0048
1461283200,3.188,2.188,0.0061
1461369600,3.1785,2.1785,-0.003
1461456000,3.1974,2.1974,0.006
1461542400,3.2258,2.2258,0.0089
1461628800,3.2217,2.2217,-0.0013
1461715200,3.2395,2.2395,0.0055
1461801600,3.1579,2.1579,-0.0252
1461888000,3.1766,2.1766,0.0059
1461974400,3.2004,2.2004,0.0075
1462060800,3.1612,2.1612,-0.0123
1462147200,3.181,2.181,0.0063
1462233600,3.1438,2.1438,-0.0117
1462320000,3.141,2.141,-0.0009
1462406400,3.1411,2.1411,0.0
1462492800,3.1446,2.1446,0.0011
1462579200,3.1348,2.1348,-0.0031
1462665600,3.1361,2.1361,0.0004
1462752000,3.1373,2.1373,0.0004
1462838400,3.1322,2.1322,-0.0016
1462924800,3.138,2.138,0.0019
1463011200,3.1567,2.1567,0.006
1463097600,3.1655,2.1655,0.0028
1463184000,3.18,2.18,0.0046
1463270400,3.1629,2.1629,-0.0054
1463356800,3.1511,2.1511,-0.0037
1463443200,3.2131,2.2131,0.0197
1463529600,3.2748,2.2748,0.0192
1463616000,3.364,2.364,0.0272
1463702400,3.435,2.435,0.0211
1463788800,3.3595,2.3595,-0.022
1463875200,3.3886,2.3886,0.0086
1463961600,3.4155,2.4155,0.0079
1464048000,3.3382,2.3382,-0.0226
1464134400,3.2827,2.2827,-0.0166
1464220800,3.2545,2.2545,-0.0086
1464307200,3.2276,2.2276,-0.0083
1464393600,3.1181,2.1181,-0.0339
1464480000,3.4869,2.4869,0.1183
1464566400,3.5236,2.5236,0.0105
1464652800,3.5774,2.5774,0.0153
1464739200,3.5211,2.5211,-0.0157
1464825600,3.5553,2.5553,0.0097
1464912000,3.556,2.556,0.0002
1464998400,3.7883,2.7883,0.0653
