datetime,pps,cum_pnl,daily_pnl
1451606400,1.0,0.0,0.0
1451692800,1.0,0.0,0.0
1451779200,1.0,0.0,0.0
1451865600,1.0,0.0,0.0
1451952000,1.0,0.0,0.0
1452038400,1.0,0.0,0.0
1452124800,1.0,0.0,0.0
1452211200,1.0094,0.0094,0.0094
1452297600,1.0015,0.0015,-0.0078
1452384000,1.0006,0.0006,-0.0009
1452470400,1.0008,0.0008,0.0002
1452556800,1.0036,0.0036,0.0027
1452643200,1.0211,0.0211,0.0174
1452729600,1.0106,0.0106,-0.0102
1452816000,1.042,0.042,0.0311
1452902400,1.0219,0.0219,-0.0193
1452988800,1.0343,0.0343,0.0121
1453075200,1.086,0.086,0.05
1453161600,1.1144,0.1144,0.0262
1453248000,1.0744,0.0744,-0.0359
1453334400,1.1832,0.1832,0.1013
1453420800,1.2179,0.2179,0.0294
1453507200,1.196,0.196,-0.018
1453593600,1.4059,0.4059,0.1755
1453680000,1.5151,0.5151,0.0777
1453766400,1.5752,0.5752,0.0397
1453852800,1.5738,0.5738,-0.0009
1453939200,1.5567,0.5567,-0.0109
1454025600,1.5559,0.5559,-0.0005
1454112000,1.5531,0.5531,-0.0018
1454198400,1.5526,0.5526,-0.0003
1454284800,1.549,0.549,-0.0023
1454371200,1.5458,0.5458,-0.0021
1454457600,1.5556,0.5556,0.0063
1454544000,1.5656,0.5656,0.0064
1454630400,1.5658,0.5658,0.0001
1454716800,1.5635,0.5635,-0.0015
1454803200,1.5653,0.5653,0.0012
1454889600,1.5775,0.5775,0.0078
1454976000,1.5734,0.5734,-0.0026
1455062400,1.5764,0.5764,0.0019
1455148800,1.5948,0.5948,0.0117
1455235200,1.6823,0.6823,0.0549
1455321600,1.6604,0.6604,-0.0131
1455408000,1.663,0.663,0.0016
1455494400,1.664,0.664,0.0006
1455580800,1.6543,0.6543,-0.0058
1455667200,1.5716,0.5716,-0.05
1455753600,1.5722,0.5722,0.0003
1455840000,1.5943,0.5943,0.0141
1455926400,1.6098,0.6098,0.0097
1456012800,1.6083,0.6083,-0.001
1456099200,1.6131,0.6131,0.003
1456185600,1.6285,0.6285,0.0095
1456272000,1.588,0.588,-0.0249
1456358400,1.6442,0.6442,0.0354
1456444800,1.6324,0.6324,-0.0072
1456531200,1.6286,0.6286,-0.0023
1456617600,1.6638,0.6638,0.0216
1456704000,1.6641,0.6641,0.0002
1456790400,1.6677,0.6677,0.0021
1456876800,1.8234,0.8234,0.0934
1456963200,1.9333,0.9333,0.0603
1457049600,2.0616,1.0616,0.0664
1457136000,2.1525,1.1525,0.0441
1457222400,2.2828,1.2828,0.0605
1457308800,2.295,1.295,0.0054
1457395200,2.2417,1.2417,-0.0232
1457481600,2.2584,1.2584,0.0075
1457568000,2.3772,1.3772,0.0526
1457654400,2.3664,1.3664,-0.0045
1457740800,2.3588,1.3588,-0.0032
1457827200,2.3893,1.3893,0.0129
1457913600,2.4231,1.4231,0.0141
1458000000,2.363,1.363,-0.0248
1458086400,2.3818,1.3818,0.0079
1458172800,2.3622,1.3622,-0.0082
1458259200,2.3412,1.3412,-0.0089
1458345600,2.3339,1.3339,-0.0031
1458432000,2.3321,1.3321,-0.0008
1458518400,2.3311,1.3311,-0.0005
1458604800,2.3794,1.3794,0.0208
1458691200,2.3687,1.3687,-0.0045
1458777600,2.3959,1.3959,0.0115
1458864000,2.3688,1.3688,-0.0113
1458950400,2.357,1.357,-0.005
1459036800,2.3609,1.3609,0.0017
1459123200,2.3544,1.3544,-0.0028
1459209600,2.373,1.373,0.0079
1459296000,2.3611,1.3611,-0.005
1459382400,2.3596,1.3596,-0.0006
1459468800,2.3541,1.3541,-0.0023
1459555200,2.3578,1.3578,0.0016
1459641600,2.3562,1.3562,-0.0007
1459728000,2.3549,1.3549,-0.0006
1459814400,2.3419,1.3419,-0.0055
1459900800,2.3227,1.3227,-0.0082
1459987200,2.327,1.327,0.0019
1460073600,2.3212,1.3212,-0.0025
1460160000,2.32,1.32,-0.0005
1460246400,2.328,1.328,0.0034
1460332800,2.3384,1.3384,0.0044
1460419200,2.3456,1.3456,0.0031
1460505600,2.3996,1.3996,0.023
1460592000,2.3679,1.3679,-0.0132
1460678400,2.3542,1.3542,-0.0058
1460764800,2.3693,1.3693,0.0064
1460851200,2.3658,1.3658,-0.0015
1460937600,2.3317,1.3317,-0.0144
1461024000,2.3422,1.3422,0.0045
1461110400,2.359,1.359,0.0072
1461196800,2.3948,1.3948,0.0152
1461283200,2.4398,1.4398,0.0188
1461369600,2.4362,1.4362,-0.0015
1461456000,2.4482,1.4482,0.0049
1461542400,2.4966,1.4966,0.0198
1461628800,2.506,1.506,0.0038
1461715200,2.5334,1.5334,0.0109
1461801600,2.4329,1.4329,-0.0397
1461888000,2.5334,1.5334,0.0413
1461974400,2.5384,1.5384,0.0019
1462060800,2.531,1.531,-0.0029
1462147200,2.5344,1.5344,0.0013
1462233600,2.5283,1.5283,-0.0024
1462320000,2.529,1.529,0.0003
1462406400,2.5274,1.5274,-0.0006
1462492800,2.5284,1.5284,0.0004
1462579200,2.532,1.532,0.0014
1462665600,2.5321,1.5321,0.0
1462752000,2.5327,1.5327,0.0002
1462838400,2.533,1.533,0.0001
1462924800,2.5261,1.5261,-0.0028
1463011200,2.5307,1.5307,0.0018
1463097600,2.5339,1.5339,0.0013
1463184000,2.5381,1.5381,0.0017
1463270400,2.5334,1.5334,-0.0019
1463356800,2.5313,1.5313,-0.0008
1463443200,2.5436,1.5436,0.0048
1463529600,2.598,1.598,0.0214
1463616000,2.6704,1.6704,0.0279
1463702400,2.681,1.681,0.004
1463788800,2.6535,1.6535,-0.0103
1463875200,2.6661,1.6661,0.0047
1463961600,2.6728,1.6728,0.0025
1464048000,2.6465,1.6465,-0.0098
1464134400,2.6229,1.6229,-0.0089
1464220800,2.6173,1.6173,-0.0021
1464307200,2.6148,1.6148,-0.0009
1464393600,2.5951,1.5951,-0.0076
1464480000,2.6867,1.6867,0.0353
1464566400,2.7258,1.7258,0.0146
1464652800,2.7726,1.7726,0.0172
1464739200,2.7769,1.7769,0.0015
1464825600,2.7955,1.7955,0.0067
1464912000,2.7696,1.7696,-0.0093
