datetime,pps,cum_pnl,daily_pnl
1451606400,1.0,0.0,0.0
1451692800,1.0,0.0,0.0
1451779200,1.0,0.0,0.0
1451865600,1.0,0.0,0.0
1451952000,1.0,0.0,0.0
1452038400,1.0,0.0,0.0
1452124800,1.0,0.0,0.0
1452211200,1.0094,0.0094,0.0094
1452297600,1.0015,0.0015,-0.0078
1452384000,0.9977,-0.0023,-0.0038
1452470400,0.9975,-0.0025,-0.0002
1452556800,1.0002,0.0002,0.0027
1452643200,1.0318,0.0318,0.0316
1452729600,1.0211,0.0211,-0.0104
1452816000,1.0521,0.0521,0.0303
1452902400,1.0302,0.0302,-0.0208
1452988800,1.0432,0.0432,0.0126
1453075200,1.0941,0.0941,0.0488
1453161600,1.1223,0.1223,0.0258
1453248000,1.0825,0.0825,-0.0354
1453334400,1.191,0.191,0.1001
1453420800,1.2251,0.2251,0.0287
1453507200,1.2029,0.2029,-0.0181
1453593600,1.4104,0.4104,0.1725
1453680000,1.5185,0.5185,0.0767
1453766400,1.5911,0.5911,0.0478
1453852800,1.5898,0.5898,-0.0008
1453939200,1.5725,0.5725,-0.0109
1454025600,1.5717,0.5717,-0.0005
1454112000,1.5689,0.5689,-0.0018
1454198400,1.5684,0.5684,-0.0003
1454284800,1.5647,0.5647,-0.0023
1454371200,1.5615,0.5615,-0.0021
1454457600,1.5714,0.5714,0.0063
1454544000,1.5815,0.5815,0.0064
1454630400,1.5816,0.5816,0.0001
1454716800,1.5793,0.5793,-0.0015
1454803200,1.5812,0.5812,0.0012
1454889600,1.5935,0.5935,0.0078
1454976000,1.5894,0.5894,-0.0026
1455062400,1.5924,0.5924,0.0019
1455148800,1.611,0.611,0.0117
1455235200,1.6994,0.6994,0.0549
1455321600,1.6772,0.6772,-0.0131
1455408000,1.6798,0.6798,0.0016
1455494400,1.6809,0.6809,0.0006
1455580800,1.6711,0.6711,-0.0058
1455667200,1.5876,0.5876,-0.05
1455753600,1.5839,0.5839,-0.0023
1455840000,1.6069,0.6069,0.0145
1455926400,1.6225,0.6225,0.0097
1456012800,1.621,0.621,-0.001
1456099200,1.6258,0.6258,0.003
1456185600,1.6413,0.6413,0.0095
1456272000,1.6005,0.6005,-0.0249
1456358400,1.6571,0.6571,0.0354
1456444800,1.6453,0.6453,-0.0072
1456531200,1.6415,0.6415,-0.0023
1456617600,1.6769,0.6769,0.0216
1456704000,1.6772,0.6772,0.0002
1456790400,1.6808,0.6808,0.0021
1456876800,1.8378,0.8378,0.0934
1456963200,1.9486,0.9486,0.0603
1457049600,2.0779,1.0779,0.0664
1457136000,2.1695,1.1695,0.0441
1457222400,2.3008,1.3008,0.0605
1457308800,2.3131,1.3131,0.0054
1457395200,2.2594,1.2594,-0.0232
1457481600,2.2762,1.2762,0.0075
1457568000,2.3959,1.3959,0.0526
1457654400,2.3851,1.3851,-0.0045
1457740800,2.3774,1.3774,-0.0032
1457827200,2.4082,1.4082,0.0129
1457913600,2.4422,1.4422,0.0141
1458000000,2.3817,1.3817,-0.0248
1458086400,2.4006,1.4006,0.0079
1458172800,2.3808,1.3808,-0.0082
1458259200,2.3275,1.3275,-0.0224
1458345600,2.3194,1.3194,-0.0035
1458432000,2.3175,1.3175,-0.0008
1458518400,2.3163,1.3163,-0.0005
1458604800,2.367,1.367,0.0219
1458691200,2.3209,1.3209,-0.0195
1458777600,2.3458,1.3458,0.0107
1458864000,2.2486,1.2486,-0.0414
1458950400,2.2063,1.2063,-0.0188
1459036800,2.2196,1.2196,0.006
1459123200,2.2036,1.2036,-0.0072
1459209600,2.2204,1.2204,0.0076
1459296000,2.2094,1.2094,-0.005
1459382400,2.2081,1.2081,-0.0006
1459468800,2.2028,1.2028,-0.0024
1459555200,2.2063,1.2063,0.0016
1459641600,2.2048,1.2048,-0.0007
1459728000,2.2036,1.2036,-0.0006
1459814400,2.1914,1.1914,-0.0055
1459900800,2.1735,1.1735,-0.0082
1459987200,2.1775,1.1775,0.0019
1460073600,2.1721,1.1721,-0.0025
1460160000,2.171,1.171,-0.0005
1460246400,2.1784,1.1784,0.0034
1460332800,2.1881,1.1881,0.0044
1460419200,2.1949,1.1949,0.0031
1460505600,2.2454,1.2454,0.023
1460592000,2.2157,1.2157,-0.0132
1460678400,2.2029,1.2029,-0.0058
1460764800,2.2171,1.2171,0.0064
1460851200,2.2138,1.2138,-0.0015
1460937600,2.1819,1.1819,-0.0144
1461024000,2.1917,1.1917,0.0045
1461110400,2.2075,1.2075,0.0072
1461196800,2.241,1.241,0.0152
1461283200,2.2831,1.2831,0.0188
1461369600,2.2797,1.2797,-0.0015
1461456000,2.2909,1.2909,0.0049
1461542400,2.3362,1.3362,0.0198
1461628800,2.345,1.345,0.0038
1461715200,2.3706,1.3706,0.0109
1461801600,2.2766,1.2766,-0.0397
1461888000,2.3706,1.3706,0.0413
1461974400,2.3753,1.3753,0.0019
1462060800,2.3684,1.3684,-0.0029
1462147200,2.3715,1.3715,0.0013
1462233600,2.3659,1.3659,-0.0024
1462320000,2.3663,1.3663,0.0002
1462406400,2.3638,1.3638,-0.0011
1462492800,2.3647,1.3647,0.0004
1462579200,2.3681,1.3681,0.0014
1462665600,2.3681,1.3681,0.0
1462752000,2.3687,1.3687,0.0002
1462838400,2.369,1.369,0.0001
1462924800,2.3625,1.3625,-0.0027
1463011200,2.3668,1.3668,0.0018
1463097600,2.3699,1.3699,0.0013
1463184000,2.3738,1.3738,0.0017
1463270400,2.3694,1.3694,-0.0019
1463356800,2.3674,1.3674,-0.0008
1463443200,2.3789,1.3789,0.0048
1463529600,2.4298,1.4298,0.0214
1463616000,2.4976,1.4976,0.0279
1463702400,2.5075,1.5075,0.004
1463788800,2.4817,1.4817,-0.0103
1463875200,2.4935,1.4935,0.0047
1463961600,2.4997,1.4997,0.0025
1464048000,2.4752,1.4752,-0.0098
1464134400,2.4531,1.4531,-0.0089
1464220800,2.4479,1.4479,-0.0021
1464307200,2.4456,1.4456,-0.0009
1464393600,2.4271,1.4271,-0.0076
1464480000,2.5128,1.5128,0.0353
1464566400,2.5494,1.5494,0.0146
1464652800,2.5931,1.5931,0.0172
1464739200,2.5971,1.5971,0.0015
1464825600,2.6145,1.6145,0.0067
