datetime,pps,cum_pnl,daily_pnl
1451606400,1.0,0.0,0.0
1451692800,1.0,0.0,0.0
1451779200,1.0,0.0,0.0
1451865600,1.0,0.0,0.0
1451952000,1.0,0.0,0.0
1452038400,1.0,0.0,0.0
1452124800,0.9995,-0.0005,-0.0005
1452211200,0.9988,-0.0012,-0.0008
1452297600,0.9886,-0.0114,-0.0102
1452384000,0.9831,-0.0169,-0.0056
1452470400,0.9839,-0.0161,0.0008
1452556800,0.9881,-0.0119,0.0043
1452643200,1.011,0.011,0.0232
1452729600,1.0011,0.0011,-0.0098
1452816000,1.0322,0.0322,0.031
1452902400,1.0352,0.0352,0.0029
1452988800,1.0383,0.0383,0.0031
1453075200,1.0909,0.0909,0.0506
1453161600,1.1172,0.1172,0.0241
1453248000,1.0804,0.0804,-0.0329
1453334400,1.1754,0.1754,0.0879
1453420800,1.2111,0.2111,0.0304
1453507200,1.1813,0.1813,-0.0246
1453593600,1.362,0.362,0.1529
1453680000,1.4802,0.4802,0.0868
1453766400,1.6326,0.6326,0.1029
1453852800,1.6265,0.6265,-0.0037
1453939200,1.5899,0.5899,-0.0225
1454025600,1.611,0.611,0.0133
1454112000,1.6107,0.6107,-0.0001
1454198400,1.6046,0.6046,-0.0038
1454284800,1.6036,0.6036,-0.0006
1454371200,1.6036,0.6036,0.0
1454457600,1.6036,0.6036,0.0
1454544000,1.6036,0.6036,0.0
1454630400,1.6115,0.6115,0.0049
1454716800,1.6027,0.6027,-0.0055
1454803200,1.611,0.611,0.0052
1454889600,1.6576,0.6576,0.0289
1454976000,1.7409,0.7409,0.0502
1455062400,1.9189,0.9189,0.1023
1455148800,2.0036,1.0036,0.0442
1455235200,2.3829,1.3829,0.1893
1455321600,2.3222,1.3222,-0.0255
1455408000,2.3064,1.3064,-0.0068
1455494400,2.2866,1.2866,-0.0086
1455580800,2.2807,1.2807,-0.0026
1455667200,2.1313,1.1313,-0.0655
1455753600,2.1452,1.1452,0.0065
1455840000,2.1573,1.1573,0.0056
1455926400,2.1549,1.1549,-0.0011
1456012800,2.2013,1.2013,0.0216
1456099200,2.2036,1.2036,0.001
1456185600,2.2017,1.2017,-0.0009
1456272000,2.1733,1.1733,-0.0129
1456358400,2.248,1.248,0.0343
1456444800,2.226,1.226,-0.0098
1456531200,2.2122,1.2122,-0.0062
1456617600,2.2611,1.2611,0.0221
1456704000,2.2597,1.2597,-0.0006
1456790400,2.2627,1.2627,0.0013
1456876800,2.5371,1.5371,0.1213
1456963200,2.731,1.731,0.0765
1457049600,2.8957,1.8957,0.0603
1457136000,3.023,2.023,0.044
1457222400,3.1915,2.1915,0.0557
1457308800,3.2117,2.2117,0.0063
1457395200,3.0561,2.0561,-0.0485
1457481600,3.0824,2.0824,0.0086
1457568000,3.2551,2.2551,0.056
1457654400,3.2204,2.2204,-0.0107
1457740800,3.2071,2.2071,-0.0041
1457827200,3.1644,2.1644,-0.0133
1457913600,3.2345,2.2345,0.0222
1458000000,3.0943,2.0943,-0.0434
1458086400,3.1333,2.1333,0.0126
1458172800,3.0896,2.0896,-0.0139
1458259200,2.9794,1.9794,-0.0357
1458345600,2.9776,1.9776,-0.0006
1458432000,2.9776,1.9776,0.0
1458518400,2.9776,1.9776,0.0
1458604800,2.9776,1.9776,0.0
1458691200,2.9169,1.9169,-0.0204
1458777600,3.0466,2.0466,0.0444
1458864000,2.9202,1.9202,-0.0415
1458950400,2.8436,1.8436,-0.0262
1459036800,2.8672,1.8672,0.0083
1459123200,2.8845,1.8845,0.006
1459209600,2.8639,1.8639,-0.0071
1459296000,2.8622,1.8622,-0.0006
1459382400,2.8622,1.8622,0.0
1459468800,2.8303,1.8303,-0.0112
1459555200,2.8445,1.8445,0.005
1459641600,2.843,1.843,-0.0005
1459728000,2.8413,1.8413,-0.0006
1459814400,2.8413,1.8413,0.0
1459900800,2.8413,1.8413,0.0
1459987200,2.8309,1.8309,-0.0037
1460073600,2.826,1.826,-0.0017
1460160000,2.8,1.8,-0.0092
1460246400,2.7984,1.7984,-0.0006
1460332800,2.7984,1.7984,0.0
1460419200,2.7984,1.7984,0.0
1460505600,2.8485,1.8485,0.0179
1460592000,2.7979,1.7979,-0.0177
1460678400,2.774,1.774,-0.0086
1460764800,2.8217,1.8217,0.0172
1460851200,2.8191,1.8191,-0.0009
1460937600,2.7977,1.7977,-0.0076
1461024000,2.812,1.812,0.0051
1461110400,2.8515,1.8515,0.0141
1461196800,2.8899,1.8899,0.0134
1461283200,2.9337,1.9337,0.0152
1461369600,2.927,1.927,-0.0023
1461456000,2.8305,1.8305,-0.0329
1461542400,2.9027,1.9027,0.0255
1461628800,2.9215,1.9215,0.0065
1461715200,2.9545,1.9545,0.0113
1461801600,2.8326,1.8326,-0.0412
1461888000,2.9446,1.9446,0.0395
1461974400,2.9446,1.9446,0.0
1462060800,2.9446,1.9446,0.0
1462147200,2.9446,1.9446,0.0
1462233600,2.9446,1.9446,0.0
1462320000,2.9426,1.9426,-0.0007
1462406400,2.9408,1.9408,-0.0006
1462492800,2.9408,1.9408,0.0
1462579200,2.9327,1.9327,-0.0027
1462665600,2.931,1.931,-0.0006
1462752000,2.931,1.931,0.0
1462838400,2.935,1.935,0.0014
1462924800,2.9013,1.9013,-0.0115
1463011200,2.8996,1.8996,-0.0006
1463097600,2.9084,1.9084,0.003
1463184000,2.9243,1.9243,0.0055
1463270400,2.9061,1.9061,-0.0062
1463356800,2.8932,1.8932,-0.0045
1463443200,2.9611,1.9611,0.0235
1463529600,3.0271,2.0271,0.0223
1463616000,3.1126,2.1126,0.0282
1463702400,3.1818,2.1818,0.0222
1463788800,3.1102,2.1102,-0.0225
1463875200,3.1379,2.1379,0.0089
1463961600,3.1627,2.1627,0.0079
1464048000,3.0909,2.0909,-0.0227
1464134400,3.0889,2.0889,-0.0006
1464220800,3.0889,2.0889,0.0
1464307200,3.0953,2.0953,0.0021
1464393600,3.1137,2.1137,0.0059
1464480000,3.4828,2.4828,0.1185
1464566400,3.5215,2.5215,0.0111
1464652800,3.5791,2.5791,0.0164
1464739200,3.5214,2.5214,-0.0161
1464825600,3.5619,2.5619,0.0115
1464912000,3.5469,2.5469,-0.0042
