datetime,pps,cum_pnl,daily_pnl
1569888000,1.0,0.0,0.0
1569974400,1.0,0.0,0.0
1570060800,1.0,0.0,0.0
1570147200,1.0,0.0,0.0
1570233600,1.0,0.0,0.0
1570320000,1.0,0.0,0.0
1570406400,1.0,0.0,0.0
1570492800,1.0,0.0,0.0
1570579200,1.0,0.0,0.0
1570665600,1.0,0.0,0.0
1570752000,1.0,0.0,0.0
1570838400,1.0,0.0,0.0
1570924800,1.0054,0.0054,0.0054
1571011200,1.0116,0.0116,0.0061
1571097600,1.0299,0.0299,0.0181
1571184000,1.011,0.011,-0.0184
1571270400,0.9901,-0.0099,-0.0207
1571356800,1.0052,0.0052,0.0153
1571443200,0.9898,-0.0102,-0.0154
1571529600,0.9896,-0.0104,-0.0002
1571616000,1.0038,0.0038,0.0144
1571702400,1.0087,0.0087,0.0049
1571788800,1.0061,0.0061,-0.0026
1571875200,1.0003,0.0003,-0.0057
1571961600,1.0008,0.0008,0.0005
1572048000,1.0118,0.0118,0.011
1572134400,1.0269,0.0269,0.0149
1572220800,1.0669,0.0669,0.039
1572307200,1.0516,0.0516,-0.0144
1572393600,1.0746,0.0746,0.0219
1572480000,1.048,0.048,-0.0248
1572566400,1.0474,0.0474,-0.0006
1572652800,1.0594,0.0594,0.0115
1572739200,1.0707,0.0707,0.0107
1572825600,1.0601,0.0601,-0.0099
1572912000,1.0825,0.0825,0.0211
1572998400,1.0862,0.0862,0.0034
1573084800,1.0942,0.0942,0.0074
1573171200,1.08,0.08,-0.013
1573257600,1.0403,0.0403,-0.0368
1573344000,1.0407,0.0407,0.0004
1573430400,1.0431,0.0431,0.0023
1573516800,1.0407,0.0407,-0.0023
1573603200,1.0422,0.0422,0.0015
1573689600,1.0472,0.0472,0.0048
1573776000,1.0402,0.0402,-0.0067
1573862400,1.0368,0.0368,-0.0033
1573948800,1.0371,0.0371,0.0003
1574035200,1.0372,0.0372,0.0001
1574121600,1.0324,0.0324,-0.0046
1574208000,1.031,0.031,-0.0013
1574294400,1.03,0.03,-0.001
1574380800,1.0244,0.0244,-0.0054
1574467200,1.0186,0.0186,-0.0057
1574553600,1.0206,0.0206,0.002
1574640000,1.0139,0.0139,-0.0066
1574726400,1.0162,0.0162,0.0023
1574812800,1.0181,0.0181,0.0018
1574899200,1.0212,0.0212,0.003
1574985600,1.0208,0.0208,-0.0004
1575072000,1.024,0.024,0.0031
1575158400,1.0221,0.0221,-0.0018
1575244800,1.0213,0.0213,-0.0008
1575331200,1.0205,0.0205,-0.0008
1575417600,1.0203,0.0203,-0.0002
1575504000,1.0185,0.0185,-0.0017
1575590400,1.0202,0.0202,0.0016
1575676800,1.0216,0.0216,0.0014
1575763200,1.0192,0.0192,-0.0024
1575849600,1.0267,0.0267,0.0074
1575936000,1.0104,0.0104,-0.0159
1576022400,1.0074,0.0074,-0.0029
1576108800,1.0074,0.0074,-0.0
1576195200,1.0075,0.0075,0.0001
