datetime,pps,cum_pnl,daily_pnl
1451606400,1.0,0.0,0.0
1451692800,1.0,0.0,0.0
1451779200,1.0,0.0,0.0
1451865600,1.0,0.0,0.0
1451952000,1.0,0.0,0.0
1452038400,1.0,0.0,0.0
1452124800,1.0,0.0,0.0
1452211200,1.0,0.0,0.0
1452297600,0.9906,-0.0094,-0.0094
1452384000,0.9863,-0.0137,-0.0044
1452470400,0.9871,-0.0129,0.0008
1452556800,0.9925,-0.0075,0.0055
1452643200,1.0117,0.0117,0.0194
1452729600,0.9988,-0.0012,-0.0128
1452816000,1.0365,0.0365,0.0377
1452902400,1.0,-0.0,-0.0352
1452988800,1.0197,0.0197,0.0198
1453075200,1.081,0.081,0.0601
1453161600,1.1161,0.1161,0.0325
1453248000,1.0666,0.0666,-0.0444
1453334400,1.2038,0.2038,0.1287
1453420800,1.2448,0.2448,0.034
1453507200,1.2151,0.2151,-0.0238
1453593600,1.4699,0.4699,0.2096
1453680000,1.6034,0.6034,0.0909
1453766400,1.7538,0.7538,0.0938
1453852800,1.7473,0.7473,-0.0037
1453939200,1.6996,0.6996,-0.0273
1454025600,1.7236,0.7236,0.0141
1454112000,1.7228,0.7228,-0.0005
1454198400,1.7144,0.7144,-0.0048
1454284800,1.6376,0.6376,-0.0448
1454371200,1.6338,0.6338,-0.0023
1454457600,1.651,0.651,0.0105
1454544000,1.6687,0.6687,0.0107
1454630400,1.6752,0.6752,0.0039
1454716800,1.6713,0.6713,-0.0024
1454803200,1.6622,0.6622,-0.0054
1454889600,1.684,0.684,0.0131
1454976000,1.7816,0.7816,0.058
1455062400,2.0077,1.0077,0.1269
1455148800,2.1211,1.1211,0.0565
1455235200,2.5187,1.5187,0.1874
1455321600,2.4372,1.4372,-0.0324
1455408000,2.4344,1.4344,-0.0011
1455494400,2.4379,1.4379,0.0014
1455580800,2.4156,1.4156,-0.0092
1455667200,2.2797,1.2797,-0.0563
1455753600,2.2878,1.2878,0.0035
1455840000,2.3339,1.3339,0.0202
1455926400,2.3355,1.3355,0.0006
1456012800,2.46,1.46,0.0533
1456099200,2.477,1.477,0.0069
1456185600,2.5122,1.5122,0.0142
1456272000,2.3625,1.3625,-0.0596
1456358400,2.4746,1.4746,0.0475
1456444800,2.4526,1.4526,-0.0089
1456531200,2.4624,1.4624,0.004
1456617600,2.523,1.523,0.0246
1456704000,2.5267,1.5267,0.0015
1456790400,2.5363,1.5363,0.0038
1456876800,2.8208,1.8208,0.1122
1456963200,3.0022,2.0022,0.0643
1457049600,3.2177,2.2177,0.0718
1457136000,3.356,2.356,0.043
1457222400,3.5776,2.5776,0.066
1457308800,3.6098,2.6098,0.009
1457395200,3.4036,2.4036,-0.0571
1457481600,3.4393,2.4393,0.0105
1457568000,3.6778,2.6778,0.0693
1457654400,3.635,2.635,-0.0117
1457740800,3.621,2.621,-0.0039
1457827200,3.9248,2.9248,0.0839
1457913600,4.0514,3.0514,0.0323
1458000000,3.8159,2.8159,-0.0581
1458086400,3.882,2.882,0.0173
1458172800,3.8092,2.8092,-0.0187
1458259200,3.6245,2.6245,-0.0485
1458345600,3.6036,2.6036,-0.0058
1458432000,3.5988,2.5988,-0.0013
1458518400,3.5957,2.5957,-0.0009
1458604800,3.7273,2.7273,0.0366
1458691200,3.6378,2.6378,-0.024
1458777600,3.7038,2.7038,0.0182
1458864000,3.5119,2.5119,-0.0518
1458950400,3.4285,2.4285,-0.0238
1459036800,3.4548,2.4548,0.0077
1459123200,3.39,2.39,-0.0188
1459209600,3.4339,2.4339,0.013
1459296000,3.4055,2.4055,-0.0083
1459382400,3.4023,2.4023,-0.0009
1459468800,3.3886,2.3886,-0.004
1459555200,3.3976,2.3976,0.0027
1459641600,3.3953,2.3953,-0.0007
1459728000,3.3925,2.3925,-0.0008
1459814400,3.3837,2.3837,-0.0026
1459900800,3.3883,2.3883,0.0013
1459987200,3.3859,2.3859,-0.0007
1460073600,3.3814,2.3814,-0.0013
1460160000,3.3687,2.3687,-0.0038
1460246400,3.3726,2.3726,0.0012
1460332800,3.3868,2.3868,0.0042
1460419200,3.3962,2.3962,0.0028
1460505600,3.4323,2.4323,0.0106
1460592000,3.3734,2.3734,-0.0172
1460678400,3.3658,2.3658,-0.0023
1460764800,3.3925,2.3925,0.0079
1460851200,3.3835,2.3835,-0.0027
1460937600,3.3131,2.3131,-0.0208
1461024000,3.3542,2.3542,0.0124
1461110400,3.4332,2.4332,0.0235
1461196800,3.5037,2.5037,0.0205
1461283200,3.5911,2.5911,0.0249
1461369600,3.5921,2.5921,0.0003
1461456000,3.6024,2.6024,0.0029
1461542400,3.6992,2.6992,0.0269
1461628800,3.7313,2.7313,0.0087
1461715200,3.7744,2.7744,0.0115
1461801600,3.6157,2.6157,-0.042
1461888000,3.8068,2.8068,0.0528
1461974400,3.8191,2.8191,0.0032
1462060800,3.8008,2.8008,-0.0048
1462147200,3.8091,2.8091,0.0022
1462233600,3.7942,2.7942,-0.0039
1462320000,3.7964,2.7964,0.0006
1462406400,3.7906,2.7906,-0.0015
1462492800,3.793,2.793,0.0006
1462579200,3.802,2.802,0.0024
1462665600,3.8022,2.8022,0.0001
1462752000,3.8036,2.8036,0.0004
1462838400,3.8044,2.8044,0.0002
1462924800,3.7872,2.7872,-0.0045
1463011200,3.7987,2.7987,0.003
1463097600,3.8069,2.8069,0.0022
1463184000,3.8173,2.8173,0.0028
1463270400,3.8055,2.8055,-0.0031
1463356800,3.8003,2.8003,-0.0014
1463443200,3.831,2.831,0.0081
1463529600,3.9334,2.9334,0.0267
1463616000,4.07,3.07,0.0347
1463702400,4.1573,3.1573,0.0214
1463788800,4.0499,3.0499,-0.0258
1463875200,4.0932,3.0932,0.0107
1463961600,4.1284,3.1284,0.0086
1464048000,4.0192,3.0192,-0.0264
1464134400,3.9362,2.9362,-0.0206
1464220800,3.9241,2.9241,-0.0031
1464307200,3.918,2.918,-0.0016
1464393600,3.8685,2.8685,-0.0126
1464480000,4.0976,3.0976,0.0592
1464566400,4.1806,3.1806,0.0202
1464652800,4.2732,3.2732,0.0222
1464739200,4.309,3.309,0.0084
1464825600,4.3552,3.3552,0.0107
1464912000,4.3324,3.3324,-0.0052
