datetime,pps,cum_pnl,daily_pnl
1388534400,0.9999,-0.0001,-0.0001
1388620800,1.001,0.001,0.0011
1388707200,1.0027,0.0027,0.0017
1388793600,1.006,0.006,0.0033
1388880000,1.009,0.009,0.0029
1388966400,1.0204,0.0204,0.0114
1389052800,1.0339,0.0339,0.0132
1389139200,0.8521,-0.1479,-0.1758
1389225600,0.857,-0.143,0.0057
1389312000,0.8584,-0.1416,0.0016
1389398400,0.8615,-0.1385,0.0036
1389484800,0.8682,-0.1318,0.0078
1389571200,0.8601,-0.1399,-0.0094
1389657600,0.8567,-0.1433,-0.0039
1389744000,0.8554,-0.1446,-0.0016
1389830400,0.8598,-0.1402,0.0052
1389916800,0.8549,-0.1451,-0.0057
1390003200,0.8513,-0.1487,-0.0042
1390089600,0.8519,-0.1481,0.0007
1390176000,0.8534,-0.1466,0.0018
1390262400,0.8525,-0.1475,-0.0011
1390348800,0.8523,-0.1477,-0.0002
1390435200,0.852,-0.148,-0.0004
1390521600,0.8515,-0.1485,-0.0006
1390608000,0.8499,-0.1501,-0.0019
1390694400,0.8512,-0.1488,0.0016
1390780800,0.8517,-0.1483,0.0005
1390867200,0.8477,-0.1523,-0.0046
1390953600,0.8495,-0.1505,0.0021
1391040000,0.85,-0.15,0.0006
1391126400,0.8503,-0.1497,0.0004
1391212800,0.8505,-0.1495,0.0002
1391299200,0.8512,-0.1488,0.0009
1391385600,0.8514,-0.1486,0.0001
1391472000,0.8437,-0.1563,-0.009
1391558400,0.839,-0.161,-0.0056
1391644800,0.8361,-0.1639,-0.0035
1391731200,0.8346,-0.1654,-0.0018
1391817600,0.8295,-0.1705,-0.0061
1391904000,0.8275,-0.1725,-0.0024
1391990400,0.8281,-0.1719,0.0007
1392076800,0.8281,-0.1719,0.0
1392163200,0.8274,-0.1726,-0.0008
1392249600,0.8259,-0.1741,-0.0018
1392336000,0.824,-0.176,-0.0024
1392422400,0.8265,-0.1735,0.003
1392508800,0.826,-0.174,-0.0006
1392595200,0.825,-0.175,-0.0012
1392681600,0.8253,-0.1747,0.0003
1392768000,0.8252,-0.1748,-0.0001
1392854400,0.8251,-0.1749,-0.0
1392940800,0.8252,-0.1748,0.0
1393027200,0.825,-0.175,-0.0002
1393113600,0.8245,-0.1755,-0.0006
1393200000,0.8245,-0.1755,0.0
1393286400,0.8268,-0.1732,0.0027
1393372800,0.8265,-0.1735,-0.0003
1393459200,0.7997,-0.2003,-0.0324
1393545600,0.799,-0.201,-0.0009
1393632000,0.8013,-0.1987,0.0029
1393718400,0.7885,-0.2115,-0.0159
1393804800,0.7878,-0.2122,-0.001
1393891200,0.7886,-0.2114,0.001
1393977600,0.7885,-0.2115,-0.0001
1394064000,0.7869,-0.2131,-0.002
1394150400,0.7863,-0.2137,-0.0009
1394236800,0.7851,-0.2149,-0.0014
1394323200,0.7847,-0.2153,-0.0006
1394409600,0.7855,-0.2145,0.001
1394496000,0.7849,-0.2151,-0.0007
1394582400,0.7851,-0.2149,0.0003
1394668800,0.7853,-0.2147,0.0003
1394755200,0.7857,-0.2143,0.0005
1394841600,0.7776,-0.2224,-0.0104
1394928000,0.7774,-0.2226,-0.0002
1395014400,0.7772,-0.2228,-0.0003
1395100800,0.7761,-0.2239,-0.0015
1395187200,0.7752,-0.2248,-0.0012
1395273600,0.7748,-0.2252,-0.0005
1395360000,0.772,-0.228,-0.0035
1395446400,0.77,-0.23,-0.0026
1395532800,0.7704,-0.2296,0.0004
1395619200,0.7707,-0.2293,0.0005
1395705600,0.7688,-0.2312,-0.0025
1395792000,0.769,-0.231,0.0002
1395878400,0.7692,-0.2308,0.0002
1395964800,0.7784,-0.2216,0.0121
1396051200,0.7525,-0.2475,-0.0334
1396137600,0.7625,-0.2375,0.0134
1396224000,0.7975,-0.2025,0.0458
1396310400,0.8036,-0.1964,0.0076
1396396800,0.7729,-0.2271,-0.0381
1396483200,0.7777,-0.2223,0.0061
1396569600,0.7604,-0.2396,-0.0222
1396656000,0.7619,-0.2381,0.0019
1396742400,0.7392,-0.2608,-0.0298
1396828800,0.7393,-0.2607,0.0002
1396915200,0.7415,-0.2585,0.003
1397001600,0.7403,-0.2597,-0.0016
1397088000,0.7423,-0.2577,0.0027
1397174400,0.8622,-0.1378,0.1615
1397260800,0.8622,-0.1378,0.0
1397347200,0.8622,-0.1378,0.0
1397433600,0.8622,-0.1378,0.0
1397520000,0.8615,-0.1385,-0.0008
1397606400,0.9858,-0.0142,0.1442
1397692800,0.9984,-0.0016,0.0128
1397779200,0.9355,-0.0645,-0.063
1397865600,0.8948,-0.1052,-0.0435
1397952000,0.9493,-0.0507,0.0609
1398038400,0.9391,-0.0609,-0.0107
1398124800,0.9375,-0.0625,-0.0017
1398211200,0.9354,-0.0646,-0.0023
1398297600,0.9359,-0.0641,0.0006
1398384000,0.9388,-0.0612,0.0031
1398470400,0.9283,-0.0717,-0.0112
1398556800,0.926,-0.074,-0.0025
1398643200,0.9167,-0.0833,-0.01
1398729600,0.9201,-0.0799,0.0037
1398816000,0.9227,-0.0773,0.0028
1398902400,0.923,-0.077,0.0003
1398988800,0.927,-0.073,0.0044
1399075200,0.9241,-0.0759,-0.0032
1399161600,0.9199,-0.0801,-0.0045
1399248000,0.9188,-0.0812,-0.0012
1399334400,0.9192,-0.0808,0.0004
1399420800,0.9194,-0.0806,0.0002
1399507200,0.9182,-0.0818,-0.0013
1399593600,0.9184,-0.0816,0.0002
1399680000,0.9168,-0.0832,-0.0017
1399766400,0.9176,-0.0824,0.0009
1399852800,0.9141,-0.0859,-0.0038
1399939200,0.915,-0.085,0.001
1400025600,0.9143,-0.0857,-0.0007
1400112000,0.9153,-0.0847,0.0011
1400198400,0.9158,-0.0842,0.0005
1400284800,0.9161,-0.0839,0.0003
1400371200,0.9164,-0.0836,0.0004
1400457600,0.9092,-0.0908,-0.0079
1400544000,0.9135,-0.0865,0.0047
1400630400,1.0428,0.0428,0.1416
1400716800,1.0592,0.0592,0.0157
1400803200,1.1814,0.1814,0.1154
1400889600,1.1595,0.1595,-0.0186
1400976000,1.1764,0.1764,0.0146
1401062400,1.3446,0.3446,0.1429
1401148800,1.3767,0.3767,0.0239
1401235200,1.3402,0.3402,-0.0265
1401321600,1.3727,0.3727,0.0242
1401408000,1.3378,0.3378,-0.0254
1401494400,1.544,0.544,0.1541
1401580800,1.5522,0.5522,0.0053
1401667200,1.5562,0.5562,0.0026
1401753600,1.5948,0.5948,0.0248
1401840000,1.6034,0.6034,0.0054
1401926400,1.5681,0.5681,-0.022
1402012800,1.5941,0.5941,0.0166
1402099200,1.5763,0.5763,-0.0112
1402185600,1.5887,0.5887,0.0079
1402272000,1.5874,0.5874,-0.0008
1402358400,1.5862,0.5862,-0.0007
1402444800,1.5862,0.5862,-0.0
1402531200,1.5828,0.5828,-0.0021
1402617600,1.576,0.576,-0.0043
1402704000,1.5787,0.5787,0.0017
1402790400,1.5753,0.5753,-0.0021
1402876800,1.5784,0.5784,0.002
1402963200,1.5776,0.5776,-0.0005
1403049600,1.5801,0.5801,0.0016
1403136000,1.5803,0.5803,0.0001
1403222400,1.5557,0.5557,-0.0156
1403308800,1.5536,0.5536,-0.0014
1403395200,1.5537,0.5537,0.0001
1403481600,1.555,0.555,0.0008
1403568000,1.5531,0.5531,-0.0012
1403654400,1.5505,0.5505,-0.0017
1403740800,1.5485,0.5485,-0.0013
1403827200,1.5511,0.5511,0.0017
1403913600,1.5541,0.5541,0.0019
1404000000,1.5527,0.5527,-0.0009
1404086400,1.5542,0.5542,0.0009
1404172800,1.6281,0.6281,0.0475
1404259200,1.6207,0.6207,-0.0045
1404345600,1.6721,0.6721,0.0317
1404432000,1.6633,0.6633,-0.0053
1404518400,1.5757,0.5757,-0.0527
1404604800,1.5852,0.5852,0.006
1404691200,1.5851,0.5851,-0.0
1404777600,1.579,0.579,-0.0039
1404864000,1.579,0.579,0.0
1404950400,1.5787,0.5787,-0.0002
1405036800,1.5779,0.5779,-0.0005
1405123200,1.5802,0.5802,0.0014
1405209600,1.5806,0.5806,0.0002
1405296000,1.5793,0.5793,-0.0008
1405382400,1.578,0.578,-0.0008
1405468800,1.5781,0.5781,0.0
1405555200,1.5772,0.5772,-0.0005
1405641600,1.5782,0.5782,0.0006
1405728000,1.5789,0.5789,0.0005
1405814400,1.5786,0.5786,-0.0002
1405900800,1.5779,0.5779,-0.0004
1405987200,1.5773,0.5773,-0.0004
1406073600,1.5768,0.5768,-0.0003
1406160000,1.5767,0.5767,-0.0
1406246400,1.5745,0.5745,-0.0014
1406332800,1.5742,0.5742,-0.0002
1406419200,1.5733,0.5733,-0.0006
1406505600,1.5729,0.5729,-0.0003
1406592000,1.5727,0.5727,-0.0002
1406678400,1.5723,0.5723,-0.0002
1406764800,1.5707,0.5707,-0.001
1406851200,1.5719,0.5719,0.0007
1406937600,1.5725,0.5725,0.0004
1407024000,1.5722,0.5722,-0.0002
1407110400,1.5722,0.5722,-0.0
1407196800,1.5722,0.5722,-0.0
1407283200,1.5723,0.5723,0.0
1407369600,1.5723,0.5723,0.0
1407456000,1.5721,0.5721,-0.0001
1407542400,1.5719,0.5719,-0.0001
1407628800,1.5719,0.5719,-0.0
1407715200,1.5718,0.5718,-0.0001
1407801600,1.5732,0.5732,0.0009
1407888000,1.5772,0.5772,0.0026
1407974400,1.6011,0.6011,0.0151
1408060800,1.6586,0.6586,0.0359
1408147200,1.667,0.667,0.005
1408233600,1.6311,0.6311,-0.0215
1408320000,1.6785,0.6785,0.0291
1408406400,1.7257,0.7257,0.0281
1408492800,1.6875,0.6875,-0.0222
1408579200,1.6292,0.6292,-0.0345
1408665600,1.6269,0.6269,-0.0014
1408752000,1.6282,0.6282,0.0008
1408838400,1.6333,0.6333,0.0031
1408924800,1.63,0.63,-0.002
1409011200,1.6313,0.6313,0.0008
1409097600,1.6276,0.6276,-0.0023
1409184000,1.6279,0.6279,0.0002
1409270400,1.6278,0.6278,-0.0
1409356800,1.6279,0.6279,0.0
1409443200,1.6275,0.6275,-0.0002
1409529600,1.626,0.626,-0.0009
1409616000,1.6257,0.6257,-0.0002
1409702400,1.6259,0.6259,0.0001
1409788800,1.6258,0.6258,-0.0
